model,dataset,language,n_questions,M,temperature,auroc,aurac,best_threshold,accuracy,wrete_macro_f1,avg_entropy,std_entropy,total_time_s,similarity_calls_total,avg_latency_s,throughput_tok_s,peak_ram_mb,f1_threshold,max_tokens,load_time_s,model_size_mb,ram_after_load_mb,ram_available_mb
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,100,10,0.5,0.8546,0.1912,,0.13,,1.0358,0.6995,23812.3,4500,238.12,0.52,2640.3,0.5,30,8.469,3503.5,1943.0,3260.1
Qwen/Qwen1.5-1.8B-Chat,bioasq,en,100,10,0.5,0.426,0.0142,,0.02,,0.9911,0.5559,9419.8,4500,94.2,2.25,5040.3,0.5,30,4.75,3503.5,5021.2,3804.1
Qwen/Qwen1.5-1.8B-Chat,facqa,id,100,10,0.5,0.6072,0.2578,,0.49,,0.3379,0.4257,19637.2,4500,196.37,1.33,4344.9,0.5,30,6.664,3503.5,4210.4,3679.1
Qwen/Qwen1.5-1.8B-Chat,wrete,id,100,10,0.5,0.5023,0.5964,1.2675,0.68,0.6736,0.8896,0.3911,26323.2,4500,263.23,1.09,3619.5,0.5,30,6.073,3503.5,2771.7,3761.5
