model,dataset,language,n_questions,M,temperature,auroc,aurac,best_threshold,accuracy,wrete_macro_f1,avg_entropy,std_entropy,total_time_s,similarity_calls_total,avg_latency_s,throughput_tok_s,peak_ram_mb,f1_threshold,max_tokens,load_time_s,model_size_mb,ram_after_load_mb,ram_available_mb
microsoft/phi-1_5,trivia_qa,en,100,10,0.5,0.7235,0.1467,,0.08,,1.7729,0.4617,27358.3,4500,273.58,1.33,2010.0,0.5,30,2.102,2705.1,751.2,1713.5
microsoft/phi-1_5,bioasq,en,100,10,0.5,0.5247,0.0372,,0.04,,0.9141,0.633,15731.7,4500,157.32,2.1,3453.1,0.5,30,1.548,2705.1,1696.4,2430.3
