model,dataset,language,n_questions,M,temperature,auroc,aurac,best_threshold,accuracy,wrete_macro_f1,avg_entropy,std_entropy,total_time_s,similarity_calls_total,avg_latency_s,throughput_tok_s,peak_ram_mb,f1_threshold,max_tokens,load_time_s,model_size_mb,ram_after_load_mb,ram_available_mb
microsoft/phi-1_5,facqa,id,100,10,0.5,0.6375,0.0331,,0.03,,0.5268,0.408,13843.5,4500,138.44,2.45,3438.9,0.5,30,1.904,2705.1,753.7,3190.3
microsoft/phi-1_5,wrete,id,100,10,0.5,0.5,0.1396,,0.15,0.2084,1.0593,0.5199,13429.0,4500,134.29,2.54,3463.8,0.5,30,1.526,2705.1,907.6,4926.1
