model,dataset,language,n_questions,M,temperature,auroc,aurac,best_threshold,rej_acc_t05,rej_acc_t10,rej_acc_t15,rej_acc_t20,coverage_t15,coverage_t20,threshold_p25,threshold_p50,threshold_p75,threshold_p90,accuracy,avg_entropy,std_entropy,total_time_s,similarity_calls_total,load_time_s,model_size_mb,ram_after_load_mb,ram_available_mb
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,100,10,0.5,0.7427,0.3537,,0.64,0.6,0.4533333333333333,0.4222222222222222,0.75,0.9,0.24381225,0.919197,1.37404875,1.7566975000000007,0.39,0.8772,0.6863,7680.0,4500,5.258,4196.4,2083.2,1555.7
TinyLlama/TinyLlama-1.1B-Chat-v1.0,bioasq,en,100,10,0.5,0.6939,0.4432,,0.2391304347826087,0.21428571428571427,0.17333333333333334,0.14444444444444443,0.75,0.9,-0.0,0.325083,0.82585075,1.3730999000000013,0.14,0.5085,0.5935,13326.7,4500,4.342,4196.4,5994.4,2542.4
TinyLlama/TinyLlama-1.1B-Chat-v1.0,facqa,id,100,10,0.5,0.6263,0.4359,,0.2127659574468085,0.19672131147540983,0.16666666666666666,0.15555555555555556,0.78,0.9,-0.0,0.325083,0.639032,1.0993650000000008,0.15,0.3956,0.4703,13668.9,4500,4.375,4196.4,5085.7,2571.9
TinyLlama/TinyLlama-1.1B-Chat-v1.0,wrete,id,100,10,0.5,0.5435,0.1944,,0.46153846153846156,0.46153846153846156,0.4375,0.44086021505376344,0.8,0.93,-0.0,-0.0,0.325083,0.639032,0.43,0.1837,0.2808,18604.1,4500,4.369,4196.4,5322.2,2503.1
